#     x   y   z
 12.0  12.0  7.0
 12.0  12.0  7.0
 12.0  12.0  7.0
 12.0  12.0  7.0
 12.0  12.0  7.0
 12.0  12.0  7.0
 12.0  12.0  7.0
 12.0  12.0  7.0
 12.0  12.0  7.0
 12.0  12.0  7.0
 12.0  12.0  7.0
 12.0  12.0  7.0
 12.0  12.0  7.0
 12.0  12.0  7.0
 12.0  12.0  7.0
 12.0  12.0  7.0
 12.0  12.0  7.0
 12.0  12.0  7.0
 12.0  12.0  7.5
 12.0  12.0  7.5
 12.0  12.0  7.5
 12.0  12.0  7.5
 12.0  12.0  7.5
 12.0  12.0  7.5
 12.0  12.0  7.5
 12.0  12.0  7.5
 12.0  12.0  7.5
 12.0  12.0  7.5
 12.0  12.0  7.5
 12.0  12.0  7.5
 12.0  12.0  7.5
 12.0  12.0  7.5
 12.0  12.0  7.5
 12.0  12.0  7.5
 12.0  12.0  7.5
 12.0  12.0  7.5
 12.0  12.0  8.0
 12.0  12.0  8.0
 12.0  12.0  8.0
 12.0  12.0  8.0
 12.0  12.0  8.0
 12.0  12.0  8.0
 12.0  12.0  8.0
 12.0  12.0  8.0
 12.0  12.0  8.0
 12.0  12.0  8.0
 12.0  12.0  8.0
 12.0  12.0  8.0
 12.0  12.0  8.0
 12.0  12.0  8.0
 12.0  12.0  8.0
 12.0  12.0  8.0
 12.0  12.0  8.0
 12.0  12.0  8.0
 12.0  12.0  8.0
